27.10.2016;;30.09.2016;;07.09.2016;;;;;;;
;;;;;;;;;;;
google/bazel;27;google/bazel;27;google/bazel;27;31;;BuildCraft/BuildCraft;18;;
SpongePowered/SpongeAPI;26;SpongePowered/SpongeAPI;26;SpongePowered/SpongeAPI;26;32;;SpoutDev/Spout;18;;
chef/chef;26;chef/chef;26;chef/chef;26;33;;alexreisner/geocoder;16;;
projecthydra/sufia;26;projecthydra/sufia;26;projecthydra/sufia;26;34;;square/okhttp;16;;
rails-api/active_model_serializers;26;rails-api/active_model_serializers;26;rails-api/active_model_serializers;26;35;;Shopify/shipit-engine;14;;
dropwizard/dropwizard;25;dropwizard/dropwizard;25;dropwizard/dropwizard;25;36;;puppetlabs/puppetlabs-firewall;14;;
openMF/mifosx;25;openMF/mifosx;25;openMF/mifosx;25;37;;Jasig/cas;12;;
refinery/refinerycms;25;refinery/refinerycms;25;refinery/refinerycms;25;38;;jcabi/jcabi-github;12;;
caelum/vraptor4;24;caelum/vraptor4;24;caelum/vraptor4;24;39;;MarkUsProject/Markus;10;;
timmolter/XChange;24;timmolter/XChange;24;timmolter/XChange;24;40;;johnbellone/consul-cookbook;10;;
SpongePowered/Sponge;23;SpongePowered/Sponge;23;SpongePowered/Sponge;23;41;;JakeWharton/u2020;8;;
google/closure-compiler;23;google/closure-compiler;23;google/closure-compiler;23;42;;hw-cookbooks/graphite;8;;
rubygems/rubygems;23;rubygems/rubygems;23;rubygems/rubygems;23;43;;Compass/compass-rails;6;;
sferik/rails_admin;23;sferik/rails_admin;23;sferik/rails_admin;23;44;;celluloid/dcell;6;;
svenfuchs/rails-i18n;23;svenfuchs/rails-i18n;23;svenfuchs/rails-i18n;23;45;;Albacore/albacore;4;;
Shopify/active_shipping;22;Shopify/active_shipping;22;Shopify/active_shipping;22;46;;MagLev/maglev;4;;
openSUSE/open-build-service;22;openSUSE/open-build-service;22;openSUSE/open-build-service;22;47;;ActiveJpa/activejpa;2;;
rubyspec/rubyspec;22;rubyspec/rubyspec;22;rubyspec/rubyspec;22;48;;dejan/auto_html;2;;
RubyMoney/money;21;RubyMoney/money;21;RubyMoney/money;21;49;;AzureAD/azure-activedirectory-library-for-android;1;;
Shopify/liquid;21;Shopify/liquid;21;Shopify/liquid;21;50;;pawurb/termit;1;;
asm-helpful/helpful-web;21;asm-helpful/helpful-web;21;asm-helpful/helpful-web;21;;;;;;
cloudfoundry/warden;21;cloudfoundry/warden;21;cloudfoundry/warden;21;;;;;;
